"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","全天空日射時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","SunShine","GloblRad","UVI Max Mean","UVI Max","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","960.7","1024.0","968.2","2025/01/11 09:03:00","954.5","2025/01/24 14:47:00","12.2","21.7","2025/01/21 13:15:00","4.8","2025/01/28 06:27:00","9.1","3.8","50","16.8","50","2025/01/27 11:52:00","29.0","/","8","2.0","2025/01/19 03:45:00","3.0","2025/01/01 20:26:00","8.0","2025/01/01 00:00:00","83","X","473.19","--","--","12.5","12.6","13.0","13.6","/","15.3","17.7"
"02","961.3","1024.7","969.7","2025/02/24 09:25:00","952.4","2025/02/01 17:27:00","12.9","24.1","2025/02/15 14:54:00","4.5","2025/02/08 20:02:00","11.0","3.3","50","16.3","50","2025/02/08 16:39:00","81.5","/","9","2.0","2025/02/13 03:55:00","7.0","2025/02/13 04:57:00","38.5","2025/02/13 00:00:00","89","X","424.16","--","--","13.6","13.8","14.1","14.5","/","15.4","16.8"
"03","958.3","1021.4","966.0","2025/03/20 09:10:00","948.8","2025/03/26 15:39:00","16.0","30.2","2025/03/27 13:29:00","7.6","2025/03/17 18:42:00","12.6","3.5","50","18.2","50","2025/03/16 15:49:00","177.0","/","10","12.0","2025/03/04 16:39:00","23.5","2025/03/04 16:38:00","55.5","2025/03/04 00:00:00","83","X","612.79","--","--","16.4","16.5","16.9","17.4","/","17.8","18.0"
"04","955.5","1018.3","961.1","2025/04/02 10:07:00","950.6","2025/04/12 15:51:00","19.9","29.2","2025/04/22 13:29:00","9.1","2025/04/02 04:26:00","16.6","2.8","200","14.5","40","2025/04/13 09:58:00","114.5","/","13","17.5","2025/04/12 22:36:00","42.5","2025/04/12 22:24:00","49.0","2025/04/12 00:00:00","83","X","574.84","--","--","20.2","20.0","20.2","20.3","/","20.0","19.5"
"05","953.8","1016.5","958.4","2025/05/26 10:22:00","948.8","2025/05/23 03:00:00","23.0","30.5","2025/05/22 12:07:00","15.5","2025/05/26 06:48:00","20.4","2.4","190","12.4","50","2025/05/11 19:55:00","300.0","/","9","15.5","2025/05/24 11:41:00","47.5","2025/05/24 11:03:00","82.0","2025/05/29 00:00:00","86","X","648.86","--","--","23.2","23.2","23.5","23.7","/","23.4","22.2"
"06","951.9","1014.4","957.2","2025/06/17 10:26:00","945.7","2025/06/02 16:03:00","25.3","31.4","2025/06/11 11:18:00","20.2","2025/06/04 04:17:00","22.9","2.3","180","14.5","190","2025/06/15 13:26:00","129.0","/","13","11.0","2025/06/05 17:14:00","26.5","2025/06/05 17:04:00","49.0","2025/06/13 00:00:00","87","X","602.38","--","--","24.9","24.8","24.9","25.1","/","24.7","23.5"
"07","946.3","1008.4","954.5","2025/07/01 23:16:00","936.2","2025/07/19 11:05:00","25.1","31.7","2025/07/19 13:42:00","19.7","2025/07/09 03:23:00","23.4","2.6","180","14.6","50","2025/07/24 19:24:00","641.0","/","20","21.0","2025/07/27 23:10:00","73.0","2025/07/27 22:59:00","133.0","2025/07/07 00:00:00","90","X","526.83","--","--","25.3","25.3","25.6","25.9","/","25.8","25.1"
"08","952.7","1015.2","957.9","2025/08/18 21:27:00","935.9","2025/08/13 15:29:00","25.5","32.1","2025/08/28 14:16:00","19.4","2025/08/20 18:00:00","23.0","2.2","180","13.8","170","2025/08/03 22:12:00","147.5","/","10","17.5","2025/08/20 16:43:00","32.5","2025/08/20 16:28:00","47.0","2025/08/03 00:00:00","86","X","749.73","--","--","26.8","26.5","26.5","26.4","/","26.1","25.3"
"09","954.0","1016.6","958.7","2025/09/28 20:44:00","943.3","2025/09/23 00:39:00","25.3","32.0","2025/09/21 16:15:00","21.9","2025/09/10 20:14:00","23.4","1.3","180","14.9","180","2025/09/07 16:24:00","213.5","/","14","14.5","2025/09/07 16:03:00","49.0","2025/09/07 15:31:00","74.5","2025/09/07 00:00:00","89","X","656.92","--","--","26.0","26.2","26.4","26.6","/","26.6","25.9"
