station_code,station_name,station_type,data_kind,city,town,elevation_m,longitude,latitude,address,source_name,source_url
C0E550,明德,署屬自動站,自動氣象站月資料,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html
C0E570,白沙屯,署屬自動站,自動氣象站月資料,苗栗縣,通霄鎮,31,120.696803,24.549447,新埔里19鄰新埔151-2號,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html
C0E590,通霄,署屬自動站,自動氣象站月資料,苗栗縣,通霄鎮,40,120.704622,24.471892,城北里1鄰13號(通霄鎮城中國民小學內),中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html
C0E610,馬都安,署屬自動站,自動氣象站月資料,苗栗縣,泰安鄉,850,120.930192,24.451272,錦水村(由泰安開車約2小時瞭望台旁),中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html
C0E730,頭份,署屬自動站,自動氣象站月資料,苗栗縣,頭份市,26,120.912206,24.688247,中正路219號(苗栗縣頭份鎮頭份國小校園內),中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html
C0E740,造橋,署屬自動站,自動氣象站月資料,苗栗縣,造橋鄉,27,120.864778,24.637056,造橋村14鄰3號(造橋國小),中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html
C0E750,苗栗,署屬自動站,自動氣象站月資料,苗栗縣,苗栗市,72,120.824575,24.564569,中正路241號(建功國小),中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html
C0E780,銅鑼,署屬自動站,自動氣象站月資料,苗栗縣,銅鑼鄉,160,120.790853,24.489681,福興村文化街1號(銅鑼國小),中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html
C0E791,卓蘭,署屬自動站,自動氣象站月資料,苗栗縣,卓蘭鎮,366,120.8244,24.3126,中山路125-1號(卓蘭鎮圖書館樓頂),中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html
C0E810,西湖,署屬自動站,自動氣象站月資料,苗栗縣,西湖鄉,53,120.7485,24.562947,二湖村2鄰22號(僑文國小),中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html
