category,city,town,month,metric,source_station_count,source_station_codes,source_station_names,raw_station_values_mm,raw_average_mm,processed_value,processed_unit,processed_method,source_name,source_url,data_status
water,苗栗縣,苗栗市,2025-01,rainfall,1,C0E750,苗栗,苗栗(C0E750)=23.5,23.5,23.5,mm,以同一鄉鎮內中央氣象署 CODiS 2025 年月報表測站「降水量」取平均，作為該地區月累積雨量；未對無測站地區進行推估。,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,完整
water,苗栗縣,苗栗市,2025-02,rainfall,1,C0E750,苗栗,苗栗(C0E750)=70,70.0,70.0,mm,以同一鄉鎮內中央氣象署 CODiS 2025 年月報表測站「降水量」取平均，作為該地區月累積雨量；未對無測站地區進行推估。,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,完整
water,苗栗縣,苗栗市,2025-03,rainfall,1,C0E750,苗栗,苗栗(C0E750)=244,244.0,244.0,mm,以同一鄉鎮內中央氣象署 CODiS 2025 年月報表測站「降水量」取平均，作為該地區月累積雨量；未對無測站地區進行推估。,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,完整
water,苗栗縣,苗栗市,2025-04,rainfall,1,C0E750,苗栗,苗栗(C0E750)=145.5,145.5,145.5,mm,以同一鄉鎮內中央氣象署 CODiS 2025 年月報表測站「降水量」取平均，作為該地區月累積雨量；未對無測站地區進行推估。,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,完整
water,苗栗縣,苗栗市,2025-05,rainfall,1,C0E750,苗栗,苗栗(C0E750)=275,275.0,275.0,mm,以同一鄉鎮內中央氣象署 CODiS 2025 年月報表測站「降水量」取平均，作為該地區月累積雨量；未對無測站地區進行推估。,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,完整
water,苗栗縣,苗栗市,2025-06,rainfall,1,C0E750,苗栗,苗栗(C0E750)=93.5,93.5,93.5,mm,以同一鄉鎮內中央氣象署 CODiS 2025 年月報表測站「降水量」取平均，作為該地區月累積雨量；未對無測站地區進行推估。,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,完整
water,苗栗縣,苗栗市,2025-07,rainfall,1,C0E750,苗栗,苗栗(C0E750)=543,543.0,543.0,mm,以同一鄉鎮內中央氣象署 CODiS 2025 年月報表測站「降水量」取平均，作為該地區月累積雨量；未對無測站地區進行推估。,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,完整
water,苗栗縣,苗栗市,2025-08,rainfall,1,C0E750,苗栗,苗栗(C0E750)=58.5,58.5,58.5,mm,以同一鄉鎮內中央氣象署 CODiS 2025 年月報表測站「降水量」取平均，作為該地區月累積雨量；未對無測站地區進行推估。,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,完整
water,苗栗縣,苗栗市,2025-09,rainfall,1,C0E750,苗栗,苗栗(C0E750)=113,113.0,113.0,mm,以同一鄉鎮內中央氣象署 CODiS 2025 年月報表測站「降水量」取平均，作為該地區月累積雨量；未對無測站地區進行推估。,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,完整
water,苗栗縣,苗栗市,2025-10,rainfall,1,C0E750,苗栗,苗栗(C0E750)=42.5,42.5,42.5,mm,以同一鄉鎮內中央氣象署 CODiS 2025 年月報表測站「降水量」取平均，作為該地區月累積雨量；未對無測站地區進行推估。,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,完整
