site_id,site_name,county,township,basin,river,longitude,latitude,twd97tm2x,twd97tm2y,site_address,status_of_use,status_code,map_x,map_y,source_name,source_file,processed_method
1092,三灣大橋,苗栗縣,三灣鄉,中港溪流域,中港溪,120.9591131,24.6618981,245861.65,2728330.25,苗栗縣三灣鄉台3號公路98km處,啟用,active,199.42,60.76,環境部環境資料開放平臺：河川水質測點基本資料 WQX_P_06,Preview_Data (1).csv,保留環境部測點基本資料原始經緯度與啟停用狀態，依經緯度換算為苗栗地圖上的相對座標。
1093,平安大橋,苗栗縣,三灣鄉,中港溪流域,中港溪,120.9492131,24.6758869,244860.2,2729879.94,苗栗縣三灣鄉內灣村台3號公路92km處,啟用,active,193.93,52.26,環境部環境資料開放平臺：河川水質測點基本資料 WQX_P_06,Preview_Data (1).csv,保留環境部測點基本資料原始經緯度與啟停用狀態，依經緯度換算為苗栗地圖上的相對座標。
1662,永興橋,苗栗縣,南庄鄉,中港溪流域,中港溪,121.00581,24.617528,250588.26,2723415.37,苗栗縣南庄鄉田美村124線25.2km處,啟用,active,225.32,87.69,環境部環境資料開放平臺：河川水質測點基本資料 WQX_P_06,Preview_Data (1).csv,保留環境部測點基本資料原始經緯度與啟停用狀態，依經緯度換算為苗栗地圖上的相對座標。
1680,五福大橋,苗栗縣,竹南鎮,中港溪流域,中港溪,120.8422806,24.6642083,234036.8,2728594.67,苗栗縣竹南鎮苗6-1線附近,啟用,active,134.62,59.31,環境部環境資料開放平臺：河川水質測點基本資料 WQX_P_06,Preview_Data (1).csv,保留環境部測點基本資料原始經緯度與啟停用狀態，依經緯度換算為苗栗地圖上的相對座標。
1094,東興大橋,苗栗縣,頭份市,中港溪流域,中港溪,120.9079069,24.6805519,240680.23,2730398.8,苗栗縣頭份鎮水源路,啟用,active,171.03,49.42,環境部環境資料開放平臺：河川水質測點基本資料 WQX_P_06,Preview_Data (1).csv,保留環境部測點基本資料原始經緯度與啟停用狀態，依經緯度換算為苗栗地圖上的相對座標。
1095,尖山大橋(取代中港溪橋),苗栗縣,頭份市,中港溪流域,中港溪,120.8817,24.666946,238026.8,2728893.88,苗栗縣頭份市尖山台1號與13號公路交叉口,啟用,active,156.49,57.67,環境部環境資料開放平臺：河川水質測點基本資料 WQX_P_06,Preview_Data (1).csv,保留環境部測點基本資料原始經緯度與啟停用狀態，依經緯度換算為苗栗地圖上的相對座標。
1096,南港溪橋,苗栗縣,造橋鄉,中港溪流域,南港溪(苗),120.867851,24.6558989,236623.96,2727671.62,苗栗縣造橋鄉1號公路98km處,啟用,active,148.80,64.36,環境部環境資料開放平臺：河川水質測點基本資料 WQX_P_06,Preview_Data (1).csv,保留環境部測點基本資料原始經緯度與啟停用狀態，依經緯度換算為苗栗地圖上的相對座標。
1106,義里大橋,苗栗縣,三義鄉,大安溪流域,大安溪,120.7342222,24.3486667,223032.63,2693663.63,苗栗縣三義鄉13號公路(尖豐公路),啟用,active,74.32,250.72,環境部環境資料開放平臺：河川水質測點基本資料 WQX_P_06,Preview_Data (1).csv,保留環境部測點基本資料原始經緯度與啟停用狀態，依經緯度換算為苗栗地圖上的相對座標。
1104,白布帆大橋,苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.9105278,24.2943611,240917.78,2687626.32,苗栗縣卓蘭鎮內彎里東盛84之5號,啟用,active,172.33,283.80,環境部環境資料開放平臺：河川水質測點基本資料 WQX_P_06,Preview_Data (1).csv,保留環境部測點基本資料原始經緯度與啟停用狀態，依經緯度換算為苗栗地圖上的相對座標。
1105,卓蘭大橋(原為蘭勢橋),苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.817321,24.307695,231458.38,2689112.32,苗栗縣卓蘭鎮台3號公路(中豐新路),啟用,active,120.49,275.66,環境部環境資料開放平臺：河川水質測點基本資料 WQX_P_06,Preview_Data (1).csv,保留環境部測點基本資料原始經緯度與啟停用狀態，依經緯度換算為苗栗地圖上的相對座標。
1682,象鼻大橋,苗栗縣,泰安鄉,大安溪流域,大安溪,120.9467778,24.3574722,244600.15,2694614.11,苗栗縣泰安鄉中象聯絡道路附近,啟用,active,192.51,245.51,環境部環境資料開放平臺：河川水質測點基本資料 WQX_P_06,Preview_Data (1).csv,保留環境部測點基本資料原始經緯度與啟停用狀態，依經緯度換算為苗栗地圖上的相對座標。
1097,龜山橋,苗栗縣,公館鄉,後龍溪流域,後龍溪,120.8159169,24.53644,231349.52,2714446.85,苗栗縣公館鄉6號公路12km處,啟用,active,119.90,136.83,環境部環境資料開放平臺：河川水質測點基本資料 WQX_P_06,Preview_Data (1).csv,保留環境部測點基本資料原始經緯度與啟停用狀態，依經緯度換算為苗栗地圖上的相對座標。
1099,北勢大橋,苗栗縣,後龍鎮,後龍溪流域,後龍溪,120.8255631,24.5948969,232335.03,2720920.02,苗栗縣後龍鎮北勢村台13甲公路11km處,啟用,active,125.30,101.36,環境部環境資料開放平臺：河川水質測點基本資料 WQX_P_06,Preview_Data (1).csv,保留環境部測點基本資料原始經緯度與啟停用狀態，依經緯度換算為苗栗地圖上的相對座標。
1100,後龍溪橋,苗栗縣,後龍鎮,後龍溪流域,後龍溪,120.784298,24.6087439,228158.56,2722459.59,苗栗縣後龍鎮台1號公路110km處,啟用,active,102.41,92.93,環境部環境資料開放平臺：河川水質測點基本資料 WQX_P_06,Preview_Data (1).csv,保留環境部測點基本資料原始經緯度與啟停用狀態，依經緯度換算為苗栗地圖上的相對座標。
1681,後龍觀海大橋,苗栗縣,後龍鎮,後龍溪流域,後龍溪,120.7630389,24.6139583,226006.91,2723040.66,苗栗縣後龍鎮台31西濱快速道路,啟用,active,90.62,89.74,環境部環境資料開放平臺：河川水質測點基本資料 WQX_P_06,Preview_Data (1).csv,保留環境部測點基本資料原始經緯度與啟停用狀態，依經緯度換算為苗栗地圖上的相對座標。
