category,station_code,station_name,station_type,city,town,elevation_m,longitude,latitude,address,month,metric,source_name,source_url,raw_source_file,raw_item_name,raw_item_value,raw_item_unit,processed_value,processed_unit,processed_method,data_status
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-01,rainfall,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,降水量,31.5,mm,31.5,mm,直接採用該測站 CODiS 2025 年月報表欄位「降水量」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-01,rainfall_days,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,降水日數,8,day,8,day,直接採用該測站 CODiS 2025 年月報表欄位「降水日數」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-01,max_daily_rainfall,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,最大日降水量,7.5,mm,7.5,mm,直接採用該測站 CODiS 2025 年月報表欄位「最大日降水量」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-01,average_temperature,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,氣溫,14.9,℃,14.9,℃,直接採用該測站 CODiS 2025 年月報表欄位「氣溫」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-01,relative_humidity,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,相對溼度,74,%,74,%,直接採用該測站 CODiS 2025 年月報表欄位「相對溼度」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-02,rainfall,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,降水量,77,mm,77,mm,直接採用該測站 CODiS 2025 年月報表欄位「降水量」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-02,rainfall_days,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,降水日數,8,day,8,day,直接採用該測站 CODiS 2025 年月報表欄位「降水日數」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-02,max_daily_rainfall,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,最大日降水量,32,mm,32,mm,直接採用該測站 CODiS 2025 年月報表欄位「最大日降水量」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-02,average_temperature,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,氣溫,15.4,℃,15.4,℃,直接採用該測站 CODiS 2025 年月報表欄位「氣溫」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-02,relative_humidity,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,相對溼度,81,%,81,%,直接採用該測站 CODiS 2025 年月報表欄位「相對溼度」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-03,rainfall,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,降水量,264,mm,264,mm,直接採用該測站 CODiS 2025 年月報表欄位「降水量」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-03,rainfall_days,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,降水日數,12,day,12,day,直接採用該測站 CODiS 2025 年月報表欄位「降水日數」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-03,max_daily_rainfall,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,最大日降水量,53.5,mm,53.5,mm,直接採用該測站 CODiS 2025 年月報表欄位「最大日降水量」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-03,average_temperature,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,氣溫,17.9,℃,17.9,℃,直接採用該測站 CODiS 2025 年月報表欄位「氣溫」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-03,relative_humidity,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,相對溼度,79,%,79,%,直接採用該測站 CODiS 2025 年月報表欄位「相對溼度」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-04,rainfall,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,降水量,157.5,mm,157.5,mm,直接採用該測站 CODiS 2025 年月報表欄位「降水量」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-04,rainfall_days,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,降水日數,13,day,13,day,直接採用該測站 CODiS 2025 年月報表欄位「降水日數」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-04,max_daily_rainfall,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,最大日降水量,58.5,mm,58.5,mm,直接採用該測站 CODiS 2025 年月報表欄位「最大日降水量」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-04,average_temperature,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,氣溫,22,℃,22,℃,直接採用該測站 CODiS 2025 年月報表欄位「氣溫」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-04,relative_humidity,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,相對溼度,79,%,79,%,直接採用該測站 CODiS 2025 年月報表欄位「相對溼度」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-05,rainfall,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,降水量,294,mm,294,mm,直接採用該測站 CODiS 2025 年月報表欄位「降水量」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-05,rainfall_days,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,降水日數,12,day,12,day,直接採用該測站 CODiS 2025 年月報表欄位「降水日數」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-05,max_daily_rainfall,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,最大日降水量,84,mm,84,mm,直接採用該測站 CODiS 2025 年月報表欄位「最大日降水量」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
water,C0E550,明德,署屬自動站,苗栗縣,頭屋鄉,84,120.885411,24.583486,明德水庫水利工作站屋頂上,2025-05,average_temperature,中央氣象署 CODiS / 現存測站清單,https://codis.cwa.gov.tw/ ; https://hdps.cwa.gov.tw/static/state.html,C0E550-2025.csv,氣溫,25.5,℃,25.5,℃,直接採用該測站 CODiS 2025 年月報表欄位「氣溫」作為系統測站層級資料；目前未進行鄉鎮推估。,完整
