category,waterway_type,river,basin,month,metric,source_name,source_url,formula_source_url,source_site_count,source_site_ids,source_site_names,raw_site_rpi_values,raw_do_values_mg_l,raw_bod5_values_mg_l,raw_ss_values_mg_l,raw_nh3n_values_mg_l,processed_value,processed_unit,processed_level,processed_method,data_status
water,river,中港溪,中港溪流域,2025/01,RPI,環境部環境資料開放平臺：河川水質監測資料 WQX_P_01,https://data.moenv.gov.tw/dataset/detail/WQX_P_01,https://wq.moenv.gov.tw/EWQP/zh/Encyclopedia/NounDefinition/Pedia_37.aspx,5,1092;1093;1094;1095;1680,三灣大橋;平安大橋;東興大橋;尖山大橋(取代中港溪橋);五福大橋,1092:1.0;1093:1.0;1094:1.0;1095:2.75;1680:2.75,1092:10.2;1093:9.7;1094:9.4;1095:6.4;1680:6.1,1092:<1.0;1093:1.4;1094:<1.0;1095:2.7;1680:2.7,1092:1.9;1093:2.4;1094:2.3;1095:15.2;1680:18.9,1092:0.1;1093:0.09;1094:0.07;1095:1.92;1680:1.35,1.7,RPI,未受或稍受污染,先以各測站DO、BOD5、SS、NH3-N四項參數依環境部RPI公式計算測站RPI，再依同一溪流同月份所有有效測站RPI取平均。,已整理
water,river,中港溪,中港溪流域,2025/02,RPI,環境部環境資料開放平臺：河川水質監測資料 WQX_P_01,https://data.moenv.gov.tw/dataset/detail/WQX_P_01,https://wq.moenv.gov.tw/EWQP/zh/Encyclopedia/NounDefinition/Pedia_37.aspx,4,1092;1093;1095;1680,三灣大橋;平安大橋;尖山大橋(取代中港溪橋);五福大橋,1092:1.0;1093:1.0;1095:3.75;1680:2.75,1092:9.3;1093:9.1;1095:5.7;1680:6.8,1092:<1.0;1093:<1.0;1095:3.9;1680:1,1092:2.7;1093:5.8;1095:20.7;1680:24,1092:0.21;1093:0.17;1095:1.54;1680:1.48,2.12,RPI,輕度污染,先以各測站DO、BOD5、SS、NH3-N四項參數依環境部RPI公式計算測站RPI，再依同一溪流同月份所有有效測站RPI取平均。,已整理
water,river,中港溪,中港溪流域,2025/03,RPI,環境部環境資料開放平臺：河川水質監測資料 WQX_P_01,https://data.moenv.gov.tw/dataset/detail/WQX_P_01,https://wq.moenv.gov.tw/EWQP/zh/Encyclopedia/NounDefinition/Pedia_37.aspx,3,1094;1095;1680,東興大橋;尖山大橋(取代中港溪橋);五福大橋,1094:2.25;1095:2.25;1680:3.75,1094:9.3;1095:9.2;1680:8.4,1094:2;1095:2.6;1680:3.4,1094:67.8;1095:93.2;1680:671,1094:0.16;1095:0.19;1680:0.29,2.75,RPI,輕度污染,先以各測站DO、BOD5、SS、NH3-N四項參數依環境部RPI公式計算測站RPI，再依同一溪流同月份所有有效測站RPI取平均。,已整理
water,river,中港溪,中港溪流域,2025/04,RPI,環境部環境資料開放平臺：河川水質監測資料 WQX_P_01,https://data.moenv.gov.tw/dataset/detail/WQX_P_01,https://wq.moenv.gov.tw/EWQP/zh/Encyclopedia/NounDefinition/Pedia_37.aspx,6,1092;1093;1094;1095;1662;1680,三灣大橋;平安大橋;東興大橋;尖山大橋(取代中港溪橋);永興橋;五福大橋,1092:1.0;1093:1.0;1094:1.0;1095:1.0;1662:1.0;1680:2.0,1092:10;1093:9.5;1094:10;1095:9.8;1662:9.7;1680:7.6,1092:<1.0;1093:<1.0;1094:1.2;1095:1.4;1662:2.7;1680:1.5,1092:1.8;1093:3.9;1094:3.4;1095:9.2;1662:1.6;1680:23.2,1092:0.02;1093:0.09;1094:0.07;1095:0.14;1662:0.03;1680:0.55,1.17,RPI,未受或稍受污染,先以各測站DO、BOD5、SS、NH3-N四項參數依環境部RPI公式計算測站RPI，再依同一溪流同月份所有有效測站RPI取平均。,已整理
water,river,中港溪,中港溪流域,2025/05,RPI,環境部環境資料開放平臺：河川水質監測資料 WQX_P_01,https://data.moenv.gov.tw/dataset/detail/WQX_P_01,https://wq.moenv.gov.tw/EWQP/zh/Encyclopedia/NounDefinition/Pedia_37.aspx,6,1092;1093;1094;1095;1662;1680,三灣大橋;平安大橋;東興大橋;尖山大橋(取代中港溪橋);永興橋;五福大橋,1092:1.0;1093:1.0;1094:1.0;1095:1.5;1662:1.0;1680:1.5,1092:8.7;1093:8.8;1094:8.8;1095:8.5;1662:9;1680:7.9,1092:<1.0;1093:1.3;1094:1.1;1095:1.3;1662:2.2;1680:1.4,1092:14;1093:18;1094:18.1;1095:26.4;1662:16.3;1680:49.7,1092:0.05;1093:0.07;1094:0.07;1095:0.12;1662:0.05;1680:0.29,1.17,RPI,未受或稍受污染,先以各測站DO、BOD5、SS、NH3-N四項參數依環境部RPI公式計算測站RPI，再依同一溪流同月份所有有效測站RPI取平均。,已整理
water,river,中港溪,中港溪流域,2025/06,RPI,環境部環境資料開放平臺：河川水質監測資料 WQX_P_01,https://data.moenv.gov.tw/dataset/detail/WQX_P_01,https://wq.moenv.gov.tw/EWQP/zh/Encyclopedia/NounDefinition/Pedia_37.aspx,6,1092;1093;1094;1095;1662;1680,三灣大橋;平安大橋;東興大橋;尖山大橋(取代中港溪橋);永興橋;五福大橋,1092:1.0;1093:1.0;1094:1.0;1095:1.0;1662:1.0;1680:2.0,1092:8.7;1093:8.5;1094:8.8;1095:8.5;1662:8.6;1680:6.5,1092:<1.0;1093:<1.0;1094:<1.0;1095:1.6;1662:1.5;1680:2,1092:2.8;1093:5.6;1094:6.4;1095:16.2;1662:9.8;1680:20.7,1092:0.02;1093:0.02;1094:0.03;1095:0.14;1662:0.05;1680:0.67,1.17,RPI,未受或稍受污染,先以各測站DO、BOD5、SS、NH3-N四項參數依環境部RPI公式計算測站RPI，再依同一溪流同月份所有有效測站RPI取平均。,已整理
water,river,中港溪,中港溪流域,2025/07,RPI,環境部環境資料開放平臺：河川水質監測資料 WQX_P_01,https://data.moenv.gov.tw/dataset/detail/WQX_P_01,https://wq.moenv.gov.tw/EWQP/zh/Encyclopedia/NounDefinition/Pedia_37.aspx,6,1092;1093;1094;1095;1662;1680,三灣大橋;平安大橋;東興大橋;尖山大橋(取代中港溪橋);永興橋;五福大橋,1092:1.0;1093:1.0;1094:1.0;1095:1.0;1662:1.0;1680:3.25,1092:9.4;1093:7.8;1094:7.6;1095:6.6;1662:8.6;1680:8.8,1092:<1.0;1093:<1.0;1094:<1.0;1095:<1.0;1662:<1.0;1680:4.8,1092:4.5;1093:5.4;1094:5.2;1095:13.5;1662:5.4;1680:44.2,1092:0.04;1093:0.06;1094:0.07;1095:0.25;1662:0.04;1680:1.21,1.38,RPI,未受或稍受污染,先以各測站DO、BOD5、SS、NH3-N四項參數依環境部RPI公式計算測站RPI，再依同一溪流同月份所有有效測站RPI取平均。,已整理
water,river,中港溪,中港溪流域,2025/08,RPI,環境部環境資料開放平臺：河川水質監測資料 WQX_P_01,https://data.moenv.gov.tw/dataset/detail/WQX_P_01,https://wq.moenv.gov.tw/EWQP/zh/Encyclopedia/NounDefinition/Pedia_37.aspx,5,1092;1093;1094;1662;1680,三灣大橋;平安大橋;東興大橋;永興橋;五福大橋,1092:1.0;1093:1.0;1094:1.0;1662:1.0;1680:1.5,1092:8.4;1093:8.1;1094:8.4;1662:8.3;1680:7.6,1092:<1.0;1093:<1.0;1094:<1.0;1662:<1.0;1680:1.2,1092:3.4;1093:5.7;1094:8.3;1662:4;1680:24.8,1092:0.03;1093:0.04;1094:0.06;1662:0.03;1680:0.4,1.1,RPI,未受或稍受污染,先以各測站DO、BOD5、SS、NH3-N四項參數依環境部RPI公式計算測站RPI，再依同一溪流同月份所有有效測站RPI取平均。,已整理
water,river,中港溪,中港溪流域,2025/09,RPI,環境部環境資料開放平臺：河川水質監測資料 WQX_P_01,https://data.moenv.gov.tw/dataset/detail/WQX_P_01,https://wq.moenv.gov.tw/EWQP/zh/Encyclopedia/NounDefinition/Pedia_37.aspx,6,1092;1093;1094;1095;1662;1680,三灣大橋;平安大橋;東興大橋;尖山大橋(取代中港溪橋);永興橋;五福大橋,1092:1.0;1093:1.0;1094:1.0;1095:1.5;1662:1.0;1680:2.5,1092:9.3;1093:8.2;1094:8.5;1095:6.9;1662:8.8;1680:5.1,1092:<1.0;1093:<1.0;1094:<1.0;1095:<1.0;1662:<1.0;1680:<1.0,1092:3;1093:10.2;1094:9.4;1095:33;1662:1.9;1680:27,1092:0.02;1093:0.01;1094:0.04;1095:0.17;1662:0.03;1680:0.78,1.33,RPI,未受或稍受污染,先以各測站DO、BOD5、SS、NH3-N四項參數依環境部RPI公式計算測站RPI，再依同一溪流同月份所有有效測站RPI取平均。,已整理
water,river,中港溪,中港溪流域,2025/10,RPI,環境部環境資料開放平臺：河川水質監測資料 WQX_P_01,https://data.moenv.gov.tw/dataset/detail/WQX_P_01,https://wq.moenv.gov.tw/EWQP/zh/Encyclopedia/NounDefinition/Pedia_37.aspx,5,1092;1093;1094;1095;1680,三灣大橋;平安大橋;東興大橋;尖山大橋(取代中港溪橋);五福大橋,1092:1.0;1093:1.0;1094:1.0;1095:2.75;1680:3.25,1092:9.1;1093:8;1094:7.5;1095:6.9;1680:5.9,1092:<1.0;1093:<1.0;1094:<1.0;1095:1.2;1680:1.2,1092:2.2;1093:3.4;1094:2.4;1095:27.3;1680:21.8,1092:0.04;1093:0.04;1094:0.1;1095:1.31;1680:2.55,1.8,RPI,未受或稍受污染,先以各測站DO、BOD5、SS、NH3-N四項參數依環境部RPI公式計算測站RPI，再依同一溪流同月份所有有效測站RPI取平均。,已整理
