category,waterway_type,siteid,sitename,county,township,basin,river,longitude,latitude,month,metric,source_name,source_url,formula_source_url,raw_sample_dates,raw_do_mg_l,raw_bod5_mg_l,raw_ss_mg_l,raw_nh3n_mg_l,raw_reported_rpi,do_score,bod5_score,ss_score,nh3n_score,processed_value,processed_unit,processed_level,processed_method,data_status
water,site,1092,三灣大橋,苗栗縣,,中港溪流域,中港溪,120.9591131,24.6618981,2025/01,RPI,環境部環境資料開放平臺：河川水質監測資料 WQX_P_01,https://data.moenv.gov.tw/dataset/detail/WQX_P_01,https://wq.moenv.gov.tw/EWQP/zh/Encyclopedia/NounDefinition/Pedia_37.aspx,2025/1/3 10:08,10.2,<1.0,1.9,0.1,1,1,1,1,1,1.0,RPI,未受或稍受污染,RPI=(DO點數+BOD5點數+SS點數+NH3-N點數)/4；DO、BOD5、SS、NH3-N依環境部RPI級距轉換為1、3、6、10點後平均。,可計算
water,site,1092,三灣大橋,苗栗縣,,中港溪流域,中港溪,120.9591131,24.6618981,2025/02,RPI,環境部環境資料開放平臺：河川水質監測資料 WQX_P_01,https://data.moenv.gov.tw/dataset/detail/WQX_P_01,https://wq.moenv.gov.tw/EWQP/zh/Encyclopedia/NounDefinition/Pedia_37.aspx,2025/2/3 10:50,9.3,<1.0,2.7,0.21,1,1,1,1,1,1.0,RPI,未受或稍受污染,RPI=(DO點數+BOD5點數+SS點數+NH3-N點數)/4；DO、BOD5、SS、NH3-N依環境部RPI級距轉換為1、3、6、10點後平均。,可計算
water,site,1092,三灣大橋,苗栗縣,三灣鄉,中港溪流域,中港溪,120.9591131,24.6618981,2025/03,RPI,環境部環境資料開放平臺：河川水質監測資料 WQX_P_01,https://data.moenv.gov.tw/dataset/detail/WQX_P_01,https://wq.moenv.gov.tw/EWQP/zh/Encyclopedia/NounDefinition/Pedia_37.aspx,2025/3/5 11:30,9.4,2.1,-,0.1,1,1,1,,1,,RPI,資料不足,RPI=(DO點數+BOD5點數+SS點數+NH3-N點數)/4；DO、BOD5、SS、NH3-N依環境部RPI級距轉換為1、3、6、10點後平均。,四項RPI參數不足
water,site,1092,三灣大橋,苗栗縣,三灣鄉,中港溪流域,中港溪,120.9591131,24.6618981,2025/04,RPI,環境部環境資料開放平臺：河川水質監測資料 WQX_P_01,https://data.moenv.gov.tw/dataset/detail/WQX_P_01,https://wq.moenv.gov.tw/EWQP/zh/Encyclopedia/NounDefinition/Pedia_37.aspx,2025/4/7 08:30,10,<1.0,1.8,0.02,1,1,1,1,1,1.0,RPI,未受或稍受污染,RPI=(DO點數+BOD5點數+SS點數+NH3-N點數)/4；DO、BOD5、SS、NH3-N依環境部RPI級距轉換為1、3、6、10點後平均。,可計算
water,site,1092,三灣大橋,苗栗縣,三灣鄉,中港溪流域,中港溪,120.9591131,24.6618981,2025/05,RPI,環境部環境資料開放平臺：河川水質監測資料 WQX_P_01,https://data.moenv.gov.tw/dataset/detail/WQX_P_01,https://wq.moenv.gov.tw/EWQP/zh/Encyclopedia/NounDefinition/Pedia_37.aspx,2025/5/14 10:00,8.7,<1.0,14,0.05,1,1,1,1,1,1.0,RPI,未受或稍受污染,RPI=(DO點數+BOD5點數+SS點數+NH3-N點數)/4；DO、BOD5、SS、NH3-N依環境部RPI級距轉換為1、3、6、10點後平均。,可計算
water,site,1092,三灣大橋,苗栗縣,三灣鄉,中港溪流域,中港溪,120.9591131,24.6618981,2025/06,RPI,環境部環境資料開放平臺：河川水質監測資料 WQX_P_01,https://data.moenv.gov.tw/dataset/detail/WQX_P_01,https://wq.moenv.gov.tw/EWQP/zh/Encyclopedia/NounDefinition/Pedia_37.aspx,2025/6/4 08:10,8.7,<1.0,2.8,0.02,1,1,1,1,1,1.0,RPI,未受或稍受污染,RPI=(DO點數+BOD5點數+SS點數+NH3-N點數)/4；DO、BOD5、SS、NH3-N依環境部RPI級距轉換為1、3、6、10點後平均。,可計算
water,site,1092,三灣大橋,苗栗縣,三灣鄉,中港溪流域,中港溪,120.9591131,24.6618981,2025/07,RPI,環境部環境資料開放平臺：河川水質監測資料 WQX_P_01,https://data.moenv.gov.tw/dataset/detail/WQX_P_01,https://wq.moenv.gov.tw/EWQP/zh/Encyclopedia/NounDefinition/Pedia_37.aspx,2025/7/4 08:10,9.4,<1.0,4.5,0.04,1,1,1,1,1,1.0,RPI,未受或稍受污染,RPI=(DO點數+BOD5點數+SS點數+NH3-N點數)/4；DO、BOD5、SS、NH3-N依環境部RPI級距轉換為1、3、6、10點後平均。,可計算
water,site,1092,三灣大橋,苗栗縣,三灣鄉,中港溪流域,中港溪,120.9591131,24.6618981,2025/08,RPI,環境部環境資料開放平臺：河川水質監測資料 WQX_P_01,https://data.moenv.gov.tw/dataset/detail/WQX_P_01,https://wq.moenv.gov.tw/EWQP/zh/Encyclopedia/NounDefinition/Pedia_37.aspx,2025/8/4 08:00,8.4,<1.0,3.4,0.03,1,1,1,1,1,1.0,RPI,未受或稍受污染,RPI=(DO點數+BOD5點數+SS點數+NH3-N點數)/4；DO、BOD5、SS、NH3-N依環境部RPI級距轉換為1、3、6、10點後平均。,可計算
water,site,1092,三灣大橋,苗栗縣,三灣鄉,中港溪流域,中港溪,120.9591131,24.6618981,2025/09,RPI,環境部環境資料開放平臺：河川水質監測資料 WQX_P_01,https://data.moenv.gov.tw/dataset/detail/WQX_P_01,https://wq.moenv.gov.tw/EWQP/zh/Encyclopedia/NounDefinition/Pedia_37.aspx,2025/9/12 10:30,9.3,<1.0,3,0.02,1,1,1,1,1,1.0,RPI,未受或稍受污染,RPI=(DO點數+BOD5點數+SS點數+NH3-N點數)/4；DO、BOD5、SS、NH3-N依環境部RPI級距轉換為1、3、6、10點後平均。,可計算
water,site,1092,三灣大橋,苗栗縣,三灣鄉,中港溪流域,中港溪,120.9591131,24.6618981,2025/10,RPI,環境部環境資料開放平臺：河川水質監測資料 WQX_P_01,https://data.moenv.gov.tw/dataset/detail/WQX_P_01,https://wq.moenv.gov.tw/EWQP/zh/Encyclopedia/NounDefinition/Pedia_37.aspx,2025/10/16 08:40,9.1,<1.0,2.2,0.04,1,1,1,1,1,1.0,RPI,未受或稍受污染,RPI=(DO點數+BOD5點數+SS點數+NH3-N點數)/4；DO、BOD5、SS、NH3-N依環境部RPI級距轉換為1、3、6、10點後平均。,可計算
